__quarterly__,cpi,*,diff4_cpi,*,diff_cpi,*,obs_diff_cpi,*,obs_rs,*,obs_y_gap,*,rrs,*,rrs_gap,*,rs,*,shk_diff_cpi,*,shk_rs,*,shk_y_gap,*,y_gap,*
2000-Q1,517.558460116574,517.558460116574,2.1330079102075388,2.1330079102075388,2.495046365865619,2.495046365865619,,,,,,,,,,,5.52,5.52,,,,,,,1.3848149530358569,1.3848149530358569
2000-Q2,518.1970798490383,518.1970798490383,2.3107088317517537,2.3107088317517537,2.554478929857396,2.554478929857396,,,,,,,,,,,5.713333333,5.713333333,,,,,,,2.375460251334175,2.375460251334175
2000-Q3,518.9060380611087,518.9060380611087,2.5417917389652303,2.5417917389652303,2.8358328482813704,2.8358328482813704,,,,,,,,,,,6.016666667,6.016666667,,,,,,,1.6898515650407262,1.6898515650407262
2000-Q4,519.4622130209272,519.4622130209272,2.5275144958195597,2.5275144958195597,2.2246998392738533,2.2246998392738533,,,,,,,,,,,6.016666667,6.016666667,,,,,,,1.52336234364941,1.52336234364941
2001-Q1,520.254041097085,520.254041097085,2.695580980510954,2.695580980510954,3.1673123046311957,3.1673123046311957,,,,,,,,,,,4.816666667,4.816666667,,,,,,,0.462719287109735,0.462719287109735
2001-Q2,520.893955539682,520.893955539682,2.696875690643651,2.696875690643651,2.559657770388185,2.559657770388185,,,,,,,,,,,3.66,3.66,,,,,,,0.3654895553861479,0.3654895553861479
2001-Q3,521.6022123821207,521.6022123821207,2.696174321011995,2.696174321011995,2.8330273697547455,2.8330273697547455,,,,,,,,,,,3.17,3.17,,,,,,,-0.7374467161354232,-0.7374467161354232
2001-Q4,522.2335845705232,522.2335845705232,2.771371549596097,2.771371549596097,2.5254887536102615,2.5254887536102615,,,,,,,,,,,1.906666667,1.906666667,,,,,,,-1.1519022004413273,-1.1519022004413273
2002-Q1,522.7537184308098,522.7537184308098,2.4996773337248896,2.4996773337248896,2.080535441146367,2.080535441146367,,,,,,,,,,,1.72,1.72,,,,,,,-1.0121283134504893,-1.0121283134504893
2002-Q2,523.2177564043492,523.2177564043492,2.3238008646671915,2.3238008646671915,1.8561518941573922,1.8561518941573922,,,,,,,,,,,1.713333333,1.713333333,,,,,,,-1.0805450473324072,-1.0805450473324072
2002-Q3,523.6973736306985,523.6973736306985,2.095161248577824,2.095161248577824,1.918468905397276,1.918468905397276,,,,,,,,,,,1.643333333,1.643333333,,,,,,,-1.3595528796628287,-1.3595528796628287
2002-Q4,524.1041298904798,524.1041298904798,1.870545319956591,1.870545319956591,1.6270250391253285,1.6270250391253285,,,,,,,,,,,1.333333333,1.333333333,,,,,,,-1.9124248982833478,-1.9124248982833478
2003-Q1,524.4740765820484,524.4740765820484,1.7203581512385426,1.7203581512385426,1.4797867662741737,1.4797867662741737,,,,,,,,,,,1.156666667,1.156666667,,,,,,,-2.0833690212714373,-2.0833690212714373
2003-Q2,524.737488798584,524.737488798584,1.5197323942347793,1.5197323942347793,1.053648866142339,1.053648866142339,,,,,,,,,,,1.04,1.04,,,,,,,-1.8831706219717717,-1.8831706219717717
